run,task,group,seed,eval_sha256,eval_raw_rows,deterministic_rows_excluded,eval_duplicate_steps,eval_backward_jumps,eval_removed_rows,eval_clean_rows,eval_last_env,eval_last_wall_time,eval_legacy_extra_rows,train_sha256,train_raw_rows,train_duplicate_steps,train_backward_jumps,train_removed_rows,train_clean_rows,train_last_env,train_last_wall_time,train_legacy_extra_rows
can_calql_t12i_s3,can,calql_t12i,3,6857c083799c67cce6e68a35a80314dc38c99dc1fecaac941a3390fb6d0f8a86,18,0,0,0,0,18,129152,2026-09-07 16:27:48,0,435a84790110e5522c76eeeed9dcacfa3c37b53d7b2640f2618eaaa79fbf7c3e,104,0,0,0,104,148816,2026-09-07 17:08:38,0
can_cql_s1,can,cql,1,b16764b71180560097593eb2f4f41a4f1d480c15221bde21d445ebf61566a487,18,0,0,0,0,18,129152,2026-09-07 16:43:28,0,f2684064f5b0de27625b8e548b35900fc1100798b88cc37b214feb0d34d47c86,104,0,0,0,104,148816,2026-09-07 17:24:42,0
can_cql_s2,can,cql,2,ef4277521e721d2aa1793e2dab67e0b2f1fbbc06005201a15382a9877ba504d1,18,0,0,0,0,18,129152,2026-09-07 16:44:19,0,cb208ebbbf0ed18e292b71e8527353ed48ba091e01fa9b326834a7925d2351a0,104,0,0,0,104,148816,2026-09-07 17:25:30,0
can_cql_s3,can,cql,3,ce45c07882d796fa44d5dd55f234cbc6956434612b7a39d9392b0f80a901d3d9,18,0,0,0,0,18,129152,2026-09-07 16:45:09,0,4db8696abfa1fdba84435aff656e8ed45c4e2b5ebe581ab1c6317aa2ffb56084,104,0,0,0,104,148816,2026-09-07 17:26:18,0
can_fixalpha_003_s1,can,fixalpha_003,1,916d07406bf126b89996f3ac80a638a708d7dcaf06b8f4b92be6d014581bd249,18,0,0,0,0,18,129152,2026-09-05 10:13:00,0,fb7275214e679c3399bb82e9ddef5c7a8c76adf1fb52abecda3f55039655e1b3,104,0,0,0,104,148816,2026-09-05 10:42:36,0
can_fixalpha_003_s2,can,fixalpha_003,2,56b1a1fcc5d9e0cd268968b5d89f25273cf2823f174196cf02a8d50e327996ac,18,0,0,0,0,18,129152,2026-09-05 10:07:34,0,6652b2a453d43cf9524b0ad83d69aa7b983c03defc0f2c68d846db878fd3ac9c,104,0,0,0,104,148816,2026-09-05 10:38:07,0
can_fixalpha_003_s3,can,fixalpha_003,3,7e9fcfb1dc04d390177f8d7369d1d7bae332ce7f6d9d5cfc9c7863a644455f5f,18,0,0,0,0,18,129152,2026-09-05 10:12:59,0,48946be94a0a73fce5d21f7f4477196ecf5d5f2d79e74ba63b48429ab73eb0a5,104,0,0,0,104,148816,2026-09-05 10:42:36,0
can_fixalpha_01_s1,can,fixalpha_01,1,5b9558ef742c6dd55655b91a05d3770b1a4d60d0300be1a685568a9620e9c9c0,18,0,0,0,0,18,129152,2026-09-05 10:19:26,0,0653ca5b17d4d84bc22390f9f5142e3f2ff739095b4b3e4bb7484f2da551715a,104,0,0,0,104,148816,2026-09-05 11:03:28,0
can_fixalpha_01_s2,can,fixalpha_01,2,6d2dccdb29723c773e22f42b8e5a82c77fb254a193afc3701483c99a91108efc,18,0,0,0,0,18,129152,2026-09-05 10:22:06,0,538847eae1e7ae8b5303551b07e562ee09dfce788d95b4a657787c9e0427e2b6,104,0,0,0,104,148816,2026-09-05 11:05:03,0
can_fixalpha_01_s3,can,fixalpha_01,3,b6d63fe2ccddc4b139579162c6ff05e307dd9ebe81f8afd66666386191c35743,18,0,0,0,0,18,129152,2026-09-05 10:22:19,0,5792c25c0905972f0c182276f62b6a33dcefda4e86efa3d60920a02208117564,104,0,0,0,104,148816,2026-09-05 11:05:08,0
can_fixalpha_03_s1,can,fixalpha_03,1,97171599e04eb45c3577bf7e76ee61d237cc8accc66fd4b77d2a5b4f71701a19,18,0,0,0,0,18,129152,2026-09-05 10:17:21,0,7fee5310e5aeee2e2679f6bf2d2f250ceed932823c2c0f2b4f6fcfdb7ddb962e,104,0,0,0,104,148816,2026-09-05 11:02:04,0
can_fixalpha_03_s2,can,fixalpha_03,2,affeb75d6e845cfacf15da980012fdc925655fef30908ae5c969411b5fea0b27,18,0,0,0,0,18,129152,2026-09-05 10:18:08,0,78162573cc4d4617f840c6aada83ff2407330e3bed43f684a6546e915695626f,104,0,0,0,104,148816,2026-09-05 11:02:39,0
can_fixalpha_03_s3,can,fixalpha_03,3,e82776d74b8bb59fdb82f355398960513296427a27449d28490fb444bbfff9c1,18,0,0,0,0,18,129152,2026-09-05 10:22:10,0,601d00e72cf01014985aab35860085d36d0ae42fea12934573cc0e522e39c5c9,104,0,0,0,104,148816,2026-09-05 11:05:04,0
can_fixalpha_03_s4,can,fixalpha_03,4,5b801830895e08580178859192d114e3b21409be79a487ac83af0016ebe3740e,18,0,0,0,0,18,129152,2026-09-05 20:10:17,0,3fd6b1388049cc0999ecb07c8712669b29ae0cd4f7a650a66f49552d7a269b61,104,0,0,0,104,148816,2026-09-05 20:51:00,0
can_fixalpha_03_s5,can,fixalpha_03,5,539de8454521f182be6d367f31811e5b20ce135accf21565eda5ca9b36543b44,18,0,0,0,0,18,129152,2026-09-05 20:09:47,0,373a00a456607be6a1d112eb2a4b744c67e8ab12c75f877c766603397e8e751d,104,0,0,0,104,148816,2026-09-05 20:50:44,0
can_fixalpha_1_s1,can,fixalpha_1,1,fe0a6fff4909de18b3f596925b91933e137124d1d33b5c8c97dc7996b47c8580,18,0,0,0,0,18,129152,2026-09-05 10:12:53,0,e7b987d8e9b912e6277314276e9bb2e34fd0f7259dea4468ea8a6270de17ca12,104,0,0,0,104,148816,2026-09-05 10:42:22,0
can_fixalpha_1_s2,can,fixalpha_1,2,e96cc349e26f02d90ee829e98a061fb63cc7b171d968ec006b98ec1fb5d62929,18,0,0,0,0,18,129152,2026-09-05 10:06:17,0,925960634814094c681f90cc597fedab12dc046dfeb90e4f80de2ba03fb7b2af,104,0,0,0,104,148816,2026-09-05 10:36:42,0
can_fixalpha_1_s3,can,fixalpha_1,3,aba60a70a65e59dc0f1d6c425bdc13cbd812432afb9ef9b7aa36853ff43fffc0,18,0,0,0,0,18,129152,2026-09-05 10:12:22,0,a3660e32f81e9a6df7dd031f46d5d5cb61549c6b2be37aecac6a7994322b66f1,104,0,0,0,104,148816,2026-09-05 10:41:52,0
can_fixalpha_s1,can,fixalpha,1,ac8d042f73c7a0af799f2f8dbc61a32d38f0429c63624da2d4410e89ac42b133,16,0,0,0,0,16,99136,2026-09-04 15:04:08,0,8b29b5af125a630433e3bfecdda73f434e3a21b268fe42975a38a55e61357e2c,63,0,0,0,63,99616,2026-09-04 15:05:09,0
can_fixalpha_s2,can,fixalpha,2,a03111fc98f06316030cfc804b6bf62afc65b524c4660854cce86352ac692c83,18,0,0,0,0,18,129152,2026-09-04 17:53:26,0,4c29170ff8f564e99b02e84e6d880bc07710f0e29f3cc8b136196e8e5ea3691b,104,0,0,0,104,148816,2026-09-04 18:39:49,0
can_fixalpha_s3,can,fixalpha,3,dbce9317d3eb10f92ec58d5b78cae2c0efaf9f4d5023ae75f73238d7bf4fc860,18,0,0,0,0,18,129152,2026-09-04 18:00:52,0,a5bff173279bb238c6b2f3c6639ab895d570195713dde316087703e6373cbde3,104,0,0,0,104,148816,2026-09-04 18:46:36,0
can_hardq_s1,can,hardq,1,519cc96751e1e71aa8626adde6ea881c67d5264797d35432b0e5c1b258f001f6,31,0,0,0,0,31,99376,2026-09-05 16:06:42,0,2fc247fea4637976b2740afa54f0ad552d14e6f5508af065ae5559631c2a6164,63,0,0,0,63,99616,2026-09-05 16:06:50,0
can_hardq_s2,can,hardq,2,4e58055410d805cf92721d7472f8a6cce19b92b2d60da2ebe2700d27148f7b64,31,0,0,0,0,31,99376,2026-09-05 16:04:44,0,87cbe4d08f92da16441611a44aca29278b92c52757fe0fb1fb20988da24e639b,63,0,0,0,63,99616,2026-09-05 16:05:04,0
can_hardq_s3,can,hardq,3,a57b1dc2ed7f05d14c921ec08f01db48ab9bb629ce690fd2789de3dad0ae0098,31,0,0,0,0,31,99376,2026-09-05 16:04:56,0,2895655707659a303fb84306e83da9c0391175915bbb6673b3df0f8900bcf60c,63,0,0,0,63,99616,2026-09-05 16:05:16,0
can_iql_linear_s1,can,iql_linear,1,47f74a060da9fdd1f1fc870ab2a696c0517cfb6ee3e6fb19af4255400a5dbdb9,20,0,0,0,0,20,179168,2026-09-04 17:53:13,0,fceb74259e170285d4e1c9d0befae8f027d656753864e376e13ae04ab4f437b1,146,0,0,0,146,199216,2026-09-04 18:29:35,0
can_iql_prefill_s1,can,iql_prefill,1,91e3bcbbeec2ce1a372ab5410f6862be6cb92b71060da15de3d16da036f078fb,20,0,0,0,0,20,179168,2026-09-05 06:22:40,0,52b2f7133bddcc40a7e245c701cefac8546e89be354d57413f4b689e320c963a,146,0,0,0,146,199216,2026-09-05 06:58:41,0
can_iql_prefill_s2,can,iql_prefill,2,50b5bfc81c327f1eff7bea24de504e73ef2eb0f009f69f91575290d128a4289a,20,0,0,0,0,20,179168,2026-09-05 06:23:37,0,122e556c49007ca5a0c6cea20e435dc1dbeb86750dd18740ee838943255e871d,146,0,0,0,146,199216,2026-09-05 06:59:00,0
can_iql_prefill_s3,can,iql_prefill,3,ea671fbcdbe675bebc2593f121fd9cc9a469c9aaabd93cf9e7b8ec0032056f6e,20,0,0,0,0,20,179168,2026-09-05 06:23:24,0,59115138aa34ceca1718d7cbc79ecaba9705363324bb14a5d58347481d57ce38,146,0,0,0,146,199216,2026-09-05 06:58:48,0
can_iql_s1,can,iql,1,c10a4b51b018c301520d810cb2fd31f0e518e2a87fcd748574f1228925e00159,25,0,1,0,1,24,279200,2026-09-04 17:42:32,0,2f286270098857b78ed33a7494b3d77e90416c23418bfb2688b40d81a201f29c,245,0,1,15,230,299056,2026-09-04 18:25:35,15
can_iql_s2,can,iql,2,d019e8d90374389066d90db375e9372e0e67c18b74ca4c47525cb1c2ee94415c,26,0,2,1,2,24,279200,2026-09-04 19:24:57,0,baf9a59c96d9864bb790c3d301294eb14582be00964e854c84f0d0598a126139,250,0,1,20,230,299440,2026-09-04 19:52:25,20
can_iql_s3,can,iql,3,364f4b05c1d88a61f7f5179f072faeed687a26d41b05266cf78964491592d37c,26,0,2,1,2,24,279200,2026-09-04 19:23:11,0,00b346202f01231ed29afbbe333a894b64c76adb35fb7574980e5610b8f6feda,249,0,1,19,230,299440,2026-09-04 19:50:26,19
can_iql_s4,can,iql,4,d6282d5706b08d635ffc416146ff5028bb3476e502a3f28451d976010171688a,18,0,0,0,0,18,129152,2026-09-04 18:38:59,0,0c1fd15896d8ef8b54dcff06d60da925d45ec4a7df5ab62ddde7a7a42e69e897,104,0,0,0,104,148816,2026-09-04 18:56:38,0
can_iql_s5,can,iql,5,e34e87cdcd519c0f0a14260f574ec45dc63d2d8cc30609a6247a1ec9e02e490a,18,0,0,0,0,18,129152,2026-09-04 18:38:57,0,039c2478d070541c24e4655fbb6f6019c9ffca5686eeb29f5a16bf88fb36d906,104,0,0,0,104,148816,2026-09-04 18:56:39,0
can_mix_fixed_s1,can,mix_fixed,1,44ac3404e0727c93e5ebe2414e81a2ac750a2727193309c705c6582b54f45f8e,20,0,0,0,0,20,179168,2026-09-04 17:51:18,0,55e288d8897a1143ad75e27079562fb589dd6ece68f255b9790d2c019331bdfd,146,0,0,0,146,199216,2026-09-04 18:27:56,0
can_mix_fixed_s2,can,mix_fixed,2,cf8f2d9ec7102966b2ea07d56498b6404370952e64df20516e1d78879672fc9e,20,0,0,0,0,20,179168,2026-09-04 17:51:43,0,157c8fb7a7fc75d2f28e9a5a63cc19b597f660acea07a60f2757d9b465db7326,146,0,0,0,146,199216,2026-09-04 18:28:16,0
can_mix_fixed_s3,can,mix_fixed,3,18e41da8fe9caba3319842b7748ec459615511f7a7cf215b8f6462a01684996d,20,0,0,0,0,20,179168,2026-09-04 17:53:17,0,35df32a612f0c89b83e7562ca02a9a365cb4be1669a06d92fbe4ce09c77aeeb3,146,0,0,0,146,199216,2026-09-04 18:29:32,0
can_mix_linear_s1,can,mix_linear,1,a2de0432d1881cdf752a0d4d032e1c2626d28458f98c86922bc162186941e1fa,20,0,0,0,0,20,179168,2026-09-05 03:56:28,0,ea70f6d094fbdf4987c8d46c264f8186cebe94a7284a0ab32621a31ce21f7161,146,0,0,0,146,199216,2026-09-05 04:45:20,0
can_mix_linear_s2,can,mix_linear,2,f63b9aa493bf7689168d6a48272c106d019648f5c74676f7f5b43e150950cbd1,20,0,0,0,0,20,179168,2026-09-05 03:56:02,0,d09ddea878f64fdfc8382ca86de22340a5902e901df87c20614dbcbbf9182310,146,0,0,0,146,199216,2026-09-05 04:44:57,0
can_mix_linear_s3,can,mix_linear,3,efa5d794da82c1c45c5537ad6350180aaa75aaed075a7bd79b4886c1f9f459a6,20,0,0,0,0,20,179168,2026-09-05 03:56:09,0,21bb115a64f112785fd865b633cc54dfa749401a0f23ef8441479df28718ba25,146,0,0,0,146,199216,2026-09-05 04:45:01,0
can_mix_prefill_s1,can,mix_prefill,1,fe6f2e00e172d6ff7086459e405a83a783498f005a1c563d4c9d54e79f6e27dd,20,0,0,0,0,20,179168,2026-09-04 17:47:56,0,0b730d8df378b418ac53bba64eec0110a7e8c3f201cdeb7562b850074c814fe7,146,0,0,0,146,199216,2026-09-04 18:24:33,0
can_mix_prefill_s2,can,mix_prefill,2,2f7eb9eccca86dfe7599b832da2c5c1e64ef4728c60d5ba17b51931f31f6801a,20,0,0,0,0,20,179168,2026-09-04 17:51:18,0,3b5d7431e0b3cfde0983d24c06d5ed930613fc15090a61b3770db98cc58e2b52,146,0,0,0,146,199216,2026-09-04 18:27:58,0
can_mix_prefill_s3,can,mix_prefill,3,96deb7cd2cec2117ebb53ea9b9f0ae7deb8b370e4e15ef4e16ff3c4f0bd69ec6,20,0,0,0,0,20,179168,2026-09-04 17:50:49,0,3c4edfd151a69a4fd587726ebf3bff3fbb6e8ab9b1968f3711996eefcd790d1c,146,0,0,0,146,199216,2026-09-04 18:27:26,0
can_rs_025_s1,can,rs_025,1,b50a7dce6a821989a26a2768f1951c40999ff2abda5a7fce8edce95c2bc62397,31,0,0,0,0,31,99376,2026-09-05 16:05:14,0,0fe198fe3ae39fac69d6036c1a3b84a4d19d85c2b179072a73426d7b0a3342cb,63,0,0,0,63,99616,2026-09-05 16:05:43,0
can_rs_025_s2,can,rs_025,2,242f9daa2cf6843c73672f26c2e7a9788897dd27a0ce6b05beb61c2bd0352397,31,0,0,0,0,31,99376,2026-09-05 16:06:44,0,ec6ab2fcd69c824085a0549857b6b0492df2aec18de501a3bf7d64985a76fa4b,63,0,0,0,63,99616,2026-09-05 16:06:51,0
can_rs_025_s3,can,rs_025,3,938116823f7c3b9be03ee5fb6179ae8de33e3e31d3ceb978c32ff9fdd478d301,31,0,0,0,0,31,99376,2026-09-05 16:05:25,0,217d2fcfb3a0b30e5943626f5998fc310d74803496042d97aa4e936749ba9f9f,63,0,0,0,63,99616,2026-09-05 16:05:50,0
can_rs_2_s1,can,rs_2,1,e0c4c544b364d417cb3c2acf327bd8c0a7e05598cab340a7cae3e20d20b3b4a3,31,0,0,0,0,31,99376,2026-09-05 15:59:38,0,a09d48c99dccc6caee418de8732e71e3dc9ac719eabb392107df24e74eebdac0,63,0,0,0,63,99616,2026-09-05 16:00:13,0
can_rs_2_s2,can,rs_2,2,7722f2af1f13e3d9577740dab25a24197ea779a41707680af5d7c6d823fbb1b0,31,0,0,0,0,31,99376,2026-09-05 16:05:25,0,859ccc2b368bfa066e2358feb905b925240c1d32959ea2bdd6c68842cfa347ff,63,0,0,0,63,99616,2026-09-05 16:05:50,0
can_rs_2_s3,can,rs_2,3,c160b3c7749f88561098746ecaa1d971b5beb75571be3f8c5aefc8667e242e55,31,0,0,0,0,31,99376,2026-09-05 16:02:57,0,4721f08489f1ea50c7e0a328c246e396eb28ff878fb740104f08287df3166a17,63,0,0,0,63,99616,2026-09-05 16:03:27,0
can_td_s1,can,td,1,2dba592ddeda5d1bb6aee41ebfc98a39bce3646a72fafdeaf95cd9a356ce6e13,18,0,0,0,0,18,129152,2026-09-07 16:47:05,0,d82f52024d07fcee7c54cf365ee182587a69877dce57fa3c09575adecce60e15,104,0,0,0,104,148816,2026-09-07 17:27:50,0
can_td_s2,can,td,2,042fd92d8af833478585047e3c034ce7ed7f3f1c69b89b4e048f0112f6c4224e,18,0,0,0,0,18,129152,2026-09-07 16:48:21,0,2a1ff945b07988fb618a07cbc137d6a84175fcedc7eee55ea0c701a7b6be6fa8,104,0,0,0,104,148816,2026-09-07 17:28:39,0
can_td_s3,can,td,3,b1cc253cc583ca1fe78e8939a315be32f843faad88c925964ee7660d4830cdc0,18,0,0,0,0,18,129152,2026-09-07 16:48:22,0,dad312d1c9cb4951a3a5b358102939426fc059b5460bf83777c2209e70c99314,104,0,0,0,104,148816,2026-09-07 17:28:43,0
can_tent12_s1,can,tent12,1,3603f80cf0c6cf4232226208f1195fa6969ebc6cf3f47df3f02fe84436c5a242,18,0,0,0,0,18,129152,2026-09-05 20:08:42,0,6e8fa1c508b73d759c2121856a63fd4f3ff8c2b560d0e271418b099bf6cbb75f,104,0,0,0,104,148816,2026-09-05 20:49:52,0
can_tent12_s2,can,tent12,2,59265aafaecb1f77a310f3600873649e0579a3c4d036369c6de50ed0a48a1671,18,0,0,0,0,18,129152,2026-09-05 20:11:09,0,ceaf1e9206c2f3bb43d95ed7eae0ca7a53dd7b4611342d18e68fcc49b47ed2b2,104,0,0,0,104,148816,2026-09-05 20:51:43,0
can_tent12_s3,can,tent12,3,1af2b6b281f93491df97018980c994d598b0df072bb084c2464055c7cf86bd86,18,0,0,0,0,18,129152,2026-09-05 20:11:11,0,e808f39774a8e5909064cdc3d862145653d5955b77d67a18cc18323a2b252969,104,0,0,0,104,148816,2026-09-05 20:51:43,0
can_tent12i_s1,can,tent12i,1,b9d6e87476b38492f5d441b1cc54218b0534d10b45d995ed36ff7244d2ffb3ef,18,0,0,0,0,18,129152,2026-09-06 03:07:00,0,1e62bc2c1c92763509f3d637ec867241302b9873fc3ae5e073ef99fa65205136,104,0,0,0,104,148816,2026-09-06 03:36:20,0
can_tent12i_s2,can,tent12i,2,34bcefe3acb1a82b2a8a64b1c148d900dde7b2165be851e67c56949f2cea9dda,18,0,0,0,0,18,129152,2026-09-06 03:06:54,0,af6db04def138a320948c37973ed4202e1953e51a441f2a8f71231638b5253cb,104,0,0,0,104,148816,2026-09-06 03:36:17,0
can_tent12i_s3,can,tent12i,3,f6dde70db1f78168b78ffab910276377453db8b3402f753e83de8efeae435b72,18,0,0,0,0,18,129152,2026-09-06 03:06:52,0,8e901923a49758298d7ef24cf0d1aeccac352f266d2db415701c3ac4acb16d80,104,0,0,0,104,148816,2026-09-06 03:36:16,0
can_tent6_s1,can,tent6,1,6d897f52ffe14ab438c526ebcd6fdf43b9524b7446ff22e5afb3b5a59a306e34,16,0,0,0,0,16,99136,2026-09-06 08:57:51,0,f6a3bb17c8fd574b55fcae825e60d7140747188f7b977d187d56e19d18ead5d7,63,0,0,0,63,99616,2026-09-06 08:58:11,0
can_tent6_s2,can,tent6,2,ab586fb7902e490ba7a2f95e9e6e9d0e69105f1df989a9da7eb186d5dfa562af,16,0,0,0,0,16,99136,2026-09-06 08:57:43,0,da12ef5288b2e21ee8dd2451e3818cc780c948787ed70f101458435fe799651e,63,0,0,0,63,99616,2026-09-06 08:58:03,0
can_tent6_s3,can,tent6,3,c278be31d7d6f2f04b538fd1c398e141209ff42c99373367e0880d51d4409d23,16,0,0,0,0,16,99136,2026-09-06 08:57:54,0,db4091b9024767bd055bc08c0ae80c3508fa803413dc2f6a3c189227dde9690b,63,0,0,0,63,99616,2026-09-06 08:58:22,0
can_warmup_s1,can,warmup,1,08b9e12e1e34d192465554eb1a194ea5b6050725a33cc5c8091a5db21c0d9466,25,0,1,0,1,24,279200,2026-09-04 18:36:52,0,ffc349c78e82a7dfa28d7854416bf697404e68e852beb53129288d2886e723d7,249,0,1,19,230,299248,2026-09-04 19:14:50,19
can_warmup_s2,can,warmup,2,988e426efaaaeadc36c7bbf877af58dbe5e8df765c39d495f536a152771e013e,24,0,0,0,0,24,279200,2026-09-04 18:36:53,0,6d26c33782644a85002e160969e2eac358c1ade604ebb0df20305d07d0584440,229,0,0,0,229,299248,2026-09-04 19:14:53,0
can_warmup_s3,can,warmup,3,4b752fe4705e33324a20ccb05bc8b2ebdeddd2b079975b42a5f9a7bf3a1a6cbc,26,0,2,1,2,24,279200,2026-09-04 19:24:56,0,0b0f1ae45304bad3ea8afafa1bfd0fdada609232232ace3c866a417a204ba7a7,248,0,1,18,230,299440,2026-09-04 19:52:25,18
can_warmupc_s1,can,warmupc,1,de8c81c962975ed8e45f7af54511b3bae59755bc8fe703eace5025f48d36ed7c,18,0,0,0,0,18,129152,2026-09-04 17:58:30,0,fb2da9b632038a0f9aabd84c083a511685b44a72025aac8ffd3ad27c13f2e795,104,0,0,0,104,148816,2026-09-04 18:44:52,0
